"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"@arf/generator-java","1.5.0","true","New package and not exempt","Apache-2.0,BSD-2-Clause,BSD-3-Clause,CC-BY-3.0","Apache-2.0","Needs Legal Approval",""
"@arf/generator-liberty","5.1.2","true","New package and not exempt","Apache-2.0","Apache-2.0","Approved","node_modules/@arf/generator-liberty"
"@arf/java-common","2.0.5","true","New package and not exempt","Apache-2.0","Apache-2.0","Approved","node_modules/@arf/generator-liberty/node_modules/@arf/java-common"
"@arf/generator-spring","0.3.0","true","New package and not exempt","Apache-2.0","Apache-2.0","Approved","node_modules/@arf/generator-spring"
"@arf/java-common","2.2.0","true","New package and not exempt","Apache-2.0","Apache-2.0","Approved","node_modules/@arf/java-common"
"align-text","0.1.4","false","Exempt - Version closely related to 0.1.3","MIT","MIT","Approved","node_modules/align-text"
"amdefine","1.0.1","false","Exempt - Version closely related to 1.0.0","BSD-3-Clause,KEYWORD,MIT,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/amdefine"
"ansi-escapes","1.4.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/ansi-escapes"
"ansi-regex","2.1.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/ansi-regex"
"ansi-styles","2.2.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/ansi-styles"
"array-differ","1.0.0","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/array-differ"
"array-union","1.0.2","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/array-union"
"array-uniq","1.0.3","false","Exempt - Version closely related to 1.0.2","MIT","MIT","Approved","node_modules/array-uniq"
"arrify","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/arrify"
"async","1.5.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/async"
"balanced-match","1.0.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/balanced-match"
"binaryextensions","2.0.0","true","New package and not exempt","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/binaryextensions"
"brace-expansion","1.1.8","false","Exempt - Version closely related to 1.1.6","MIT","MIT","Approved","node_modules/brace-expansion"
"builtin-modules","1.1.1","false","Exempt - Version closely related to 1.1.0","MIT","MIT","Approved","node_modules/builtin-modules"
"camelcase","1.2.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/camelcase"
"capture-stack-trace","1.0.0","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/capture-stack-trace"
"center-align","0.1.3","false","Exempt - Version closely related to 0.1.1","MIT","MIT","Approved","node_modules/center-align"
"chalk","1.1.3","false","Exempt - Version closely related to 1.1.1","MIT","MIT","Approved","node_modules/chalk"
"class-extend","0.1.2","false","Exempt - Version closely related to 0.1.1","MIT","MIT","Approved","node_modules/class-extend"
"cli-cursor","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/cli-cursor"
"cli-table","0.3.1","false","Previously pedigree reviewed","MIT","","Approved","node_modules/cli-table"
"cli-width","2.1.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/cli-width"
"cliui","2.1.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/cliui"
"wordwrap","0.0.2","false","Previously pedigree reviewed","","","No license information available","node_modules/cliui/node_modules/wordwrap"
"clone","2.1.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/clone"
"clone-buffer","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/clone-buffer"
"clone-stats","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/clone-stats"
"cloneable-readable","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/cloneable-readable"
"code-point-at","1.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/code-point-at"
"colors","1.0.3","false","Previously pedigree reviewed","MIT,UNKNOWN","MIT","Needs Review","node_modules/colors"
"commondir","1.0.1","true","New package and not exempt","MIT","MIT","Approved","node_modules/commondir"
"concat-map","0.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/concat-map"
"concat-stream","1.6.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/concat-stream"
"core-util-is","1.0.2","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/core-util-is"
"create-error-class","3.0.2","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/create-error-class"
"cross-spawn","5.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/cross-spawn"
"dargs","5.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/dargs"
"dateformat","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/dateformat"
"debug","2.6.8","false","Exempt - Version closely related to 2.6.0","MIT","MIT","Approved","node_modules/debug"
"decamelize","1.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/decamelize"
"deep-extend","0.4.2","false","Exempt - Version closely related to 0.4.1","MIT","MIT","Approved","node_modules/deep-extend"
